DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-20.698975859607856
LONGITUD,-70.1880314633064
ALTURA,29.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2004-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.95,1.83,1.00,0.00
2004-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.54,1.66,1.00,0.00
2004-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.22,1.49,1.00,0.00
2004-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.68,1.17,1.00,0.00
2004-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.38,1.44,1.00,0.00
2004-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.63,1.34,1.00,0.00
2004-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.03,1.11,1.00,0.00
2004-01-01 07:00:00,74.06,41.40,31.34,1.31,164.88,132.46,32.42,668.41,17.96,1.77,0.00,0.00
2004-01-01 08:00:00,304.29,258.83,42.21,3.25,407.88,364.22,43.66,870.63,19.31,3.17,0.00,0.00
2004-01-01 09:00:00,543.23,490.74,47.37,5.12,642.34,593.34,49.00,957.98,20.02,4.64,0.00,0.00
2004-01-01 10:00:00,752.28,695.34,50.22,6.72,843.22,791.28,51.94,1004.56,20.79,5.88,0.00,0.00
2004-01-01 11:00:00,909.73,850.01,51.80,7.92,993.16,939.58,53.58,1030.43,21.26,6.49,0.00,0.00
2004-01-01 12:00:00,1002.82,941.61,52.59,8.62,1081.64,1027.24,54.40,1044.73,21.57,7.02,0.00,0.00
2004-01-01 13:00:00,1022.37,960.89,52.71,8.77,1100.34,1045.82,54.52,1048.83,22.28,7.06,0.00,0.00
2004-01-01 14:00:00,966.48,905.90,52.23,8.35,1047.60,993.58,54.02,1043.13,23.06,7.11,0.00,0.00
2004-01-01 15:00:00,839.38,780.94,51.05,7.39,926.98,874.18,52.80,1025.48,23.37,7.04,0.00,0.00
2004-01-01 16:00:00,652.31,597.50,48.84,5.96,748.34,697.82,50.52,991.72,22.91,6.77,0.00,0.00
2004-01-01 17:00:00,423.20,373.96,45.03,4.20,526.60,480.02,46.58,929.58,22.60,6.29,0.00,0.00
2004-01-01 18:00:00,179.09,139.19,37.67,2.24,280.74,241.78,38.96,796.99,21.92,5.53,0.00,0.00
2004-01-01 19:00:00,18.38,0.00,17.98,0.40,50.14,31.54,18.60,398.46,20.52,4.50,0.00,0.00
2004-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.65,3.28,1.00,0.00
2004-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.30,1.96,1.00,0.00
2004-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.34,1.05,1.00,0.00
2004-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.11,0.68,1.00,0.00
2004-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.55,0.72,1.00,0.00
2004-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.01,0.96,1.00,0.00
2004-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.43,1.04,1.00,0.00
2004-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.20,1.11,1.00,0.00
2004-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,1.26,1.00,0.00
2004-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.75,1.49,1.00,0.00
2004-01-02 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.44,1.58,1.00,0.00
2004-01-02 07:00:00,47.66,0.41,46.85,0.40,49.80,1.34,48.46,6.84,18.72,1.14,0.00,1.00
2004-01-02 08:00:00,309.28,263.49,42.48,3.31,414.94,371.00,43.94,891.23,20.22,2.09,0.00,0.00
2004-01-02 09:00:00,553.60,500.74,47.64,5.22,654.60,605.32,49.28,979.92,21.45,4.01,0.00,0.00
2004-01-02 10:00:00,768.22,710.85,50.51,6.86,860.84,808.60,52.24,1028.09,22.06,5.17,0.00,0.00
2004-01-02 11:00:00,930.96,870.73,52.13,8.10,1015.94,962.02,53.92,1055.95,22.44,5.97,0.00,0.00
2004-01-02 12:00:00,1027.03,965.28,52.92,8.83,1107.24,1052.50,54.74,1070.74,21.60,6.58,0.00,0.00
2004-01-02 13:00:00,1048.23,986.19,53.06,8.99,1127.62,1072.74,54.88,1075.64,21.57,6.69,0.00,0.00
2004-01-02 14:00:00,992.61,931.44,52.59,8.57,1075.26,1020.86,54.40,1071.11,21.38,6.67,0.00,0.00
2004-01-02 15:00:00,863.37,804.35,51.43,7.59,952.78,899.58,53.20,1054.15,21.24,6.57,0.00,0.00
2004-01-02 16:00:00,672.83,617.38,49.31,6.15,771.08,720.08,51.00,1021.56,21.20,6.38,0.00,0.00
2004-01-02 17:00:00,438.57,388.69,45.54,4.34,544.84,497.74,47.10,961.39,21.01,5.89,0.00,0.00
2004-01-02 18:00:00,185.50,145.10,38.09,2.31,289.74,250.34,39.40,821.60,20.51,5.38,0.00,0.00
2004-01-02 19:00:00,18.81,0.00,18.39,0.42,52.72,33.70,19.02,419.30,19.40,3.96,0.00,0.00
2004-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.84,2.44,1.00,0.00
2004-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.28,1.26,1.00,0.00
2004-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.12,1.07,1.00,0.00
2004-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.93,1.13,1.00,0.00
2004-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.59,1.16,1.00,0.00
2004-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,1.57,1.00,0.00
2004-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.13,1.78,1.00,0.00
2004-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.05,2.00,1.00,0.00
2004-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,2.20,1.00,0.00
2004-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.35,2.29,1.00,0.00
2004-01-03 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.67,2.23,1.00,0.00
2004-01-03 07:00:00,40.77,0.40,40.03,0.34,42.74,1.34,41.40,6.92,18.94,1.49,0.00,1.00
2004-01-03 08:00:00,118.61,2.64,114.99,0.98,122.66,3.72,118.94,8.98,20.66,1.41,0.00,1.00
2004-01-03 09:00:00,215.57,5.03,208.77,1.77,222.02,6.08,215.94,9.87,22.16,3.29,0.00,1.00
2004-01-03 10:00:00,487.15,11.35,471.81,3.99,500.92,12.90,488.02,16.43,22.91,4.38,0.00,1.00
2004-01-03 11:00:00,936.44,876.04,52.26,8.14,1021.42,967.36,54.06,1062.66,23.17,5.18,0.00,0.00
2004-01-03 12:00:00,876.02,79.07,789.75,7.20,903.04,86.16,816.88,87.68,22.76,5.71,0.00,1.00
2004-01-03 13:00:00,1051.83,989.67,53.15,9.01,1130.80,1075.82,54.98,1078.54,22.74,5.88,0.00,0.00
2004-01-03 14:00:00,994.61,933.34,52.69,8.58,1076.64,1022.14,54.50,1071.74,22.76,5.84,0.00,0.00
2004-01-03 15:00:00,865.30,806.18,51.51,7.60,954.04,900.76,53.28,1054.41,22.29,5.75,0.00,0.00
2004-01-03 16:00:00,674.58,619.04,49.38,6.15,772.18,721.10,51.08,1021.40,21.78,5.58,0.00,0.00
2004-01-03 17:00:00,440.17,390.23,45.59,4.35,545.70,498.54,47.16,960.45,21.00,5.14,0.00,0.00
2004-01-03 18:00:00,189.24,148.59,38.30,2.35,294.26,254.64,39.62,832.08,20.34,4.52,0.00,0.00
2004-01-03 19:00:00,19.32,0.00,18.87,0.44,55.66,36.14,19.52,443.89,19.69,3.34,0.00,0.00
2004-01-03 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.29,2.12,1.00,0.00
2004-01-03 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.88,1.30,1.00,0.00
2004-01-03 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.64,1.11,1.00,0.00
2004-01-03 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.48,1.15,1.00,0.00
2004-01-04 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,1.25,1.00,0.00
2004-01-04 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.73,1.48,1.00,0.00
2004-01-04 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.70,1.95,1.00,0.00
2004-01-04 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.78,2.06,1.00,0.00
2004-01-04 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.34,2.39,1.00,0.00
2004-01-04 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.49,2.13,1.00,0.00
2004-01-04 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.72,2.13,1.00,0.00
2004-01-04 07:00:00,36.39,0.40,35.69,0.30,38.26,1.34,36.92,7.00,19.66,2.14,0.00,1.00
2004-01-04 08:00:00,192.06,2.65,187.83,1.58,198.02,3.74,194.28,9.07,20.81,2.67,0.00,1.00
2004-01-04 09:00:00,557.87,504.85,47.76,5.25,659.22,609.82,49.40,992.51,21.96,3.91,0.00,0.00
2004-01-04 10:00:00,635.74,24.29,606.24,5.22,654.66,27.60,627.06,35.20,22.57,4.94,0.00,1.00
2004-01-04 11:00:00,779.39,50.45,722.54,6.40,803.04,55.68,747.36,61.22,22.69,5.58,0.00,1.00
2004-01-04 12:00:00,950.33,107.82,834.69,7.82,980.78,117.42,863.36,119.53,23.24,5.91,0.00,1.00
2004-01-04 13:00:00,1016.75,141.84,866.53,8.37,1050.38,154.08,896.30,154.44,23.46,5.91,0.00,1.00
2004-01-04 14:00:00,998.16,936.92,52.63,8.61,1079.68,1025.24,54.44,1074.35,23.13,5.88,0.00,0.00
2004-01-04 15:00:00,594.40,20.62,568.90,4.87,611.46,23.02,588.44,26.92,23.07,5.82,0.00,1.00
2004-01-04 16:00:00,325.96,6.22,317.07,2.67,335.20,7.24,327.96,10.24,22.37,5.62,0.00,1.00
2004-01-04 17:00:00,251.05,3.92,245.06,2.06,258.48,5.00,253.48,9.61,21.88,5.19,0.00,1.00
2004-01-04 18:00:00,116.49,1.50,114.02,0.96,120.50,2.56,117.94,8.33,21.42,4.37,0.00,1.00
2004-01-04 19:00:00,19.52,0.00,19.07,0.45,56.92,37.20,19.72,450.18,20.68,3.12,0.00,0.00
2004-01-04 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.33,1.73,1.00,0.00
2004-01-04 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.90,0.98,1.00,0.00
2004-01-04 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.25,1.11,1.00,0.00
2004-01-04 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.66,1.40,1.00,0.00
2004-01-05 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.92,1.66,1.00,0.00
2004-01-05 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,1.64,1.00,0.00
2004-01-05 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.06,1.56,1.00,0.00
2004-01-05 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.40,1.71,1.00,0.00
2004-01-05 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.20,1.89,1.00,0.00
2004-01-05 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.32,2.02,1.00,0.00
2004-01-05 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.54,1.67,1.00,0.00
2004-01-05 07:00:00,41.19,0.38,40.47,0.34,43.16,1.30,41.86,6.87,19.42,1.76,0.00,1.00
2004-01-05 08:00:00,162.36,2.61,158.42,1.34,167.54,3.68,163.86,8.97,20.65,2.63,0.00,1.00
2004-01-05 09:00:00,332.20,5.00,324.47,2.72,341.66,6.04,335.62,9.86,21.47,3.89,0.00,1.00
2004-01-05 10:00:00,768.92,711.54,50.52,6.86,860.28,808.02,52.26,1032.18,22.04,4.97,0.00,0.00
2004-01-05 11:00:00,931.78,871.54,52.15,8.09,1015.14,961.20,53.94,1057.74,22.25,5.45,0.00,0.00
2004-01-05 12:00:00,1028.22,966.42,52.98,8.82,1106.54,1051.74,54.80,1070.92,23.21,5.79,0.00,0.00
2004-01-05 13:00:00,1049.45,987.34,53.13,8.98,1126.68,1071.72,54.96,1074.06,23.51,6.00,0.00,0.00
2004-01-05 14:00:00,993.71,932.48,52.67,8.56,1073.96,1019.48,54.48,1067.67,23.05,6.30,0.00,0.00
2004-01-05 15:00:00,865.89,806.80,51.49,7.59,952.84,899.58,53.26,1050.80,22.80,6.33,0.00,0.00
2004-01-05 16:00:00,676.62,621.10,49.36,6.16,772.40,721.34,51.06,1018.35,22.35,6.10,0.00,0.00
2004-01-05 17:00:00,266.48,3.93,260.36,2.19,274.30,5.00,269.30,9.59,22.09,5.63,0.00,1.00
2004-01-05 18:00:00,192.55,151.82,38.36,2.36,296.40,256.72,39.68,832.55,21.80,4.71,0.00,0.00
2004-01-05 19:00:00,19.62,0.00,19.16,0.46,57.44,37.62,19.82,449.58,20.95,3.29,0.00,0.00
2004-01-05 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.60,1.74,1.00,0.00
2004-01-05 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.28,0.67,1.00,0.00
2004-01-05 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.44,0.96,1.00,0.00
2004-01-05 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.52,1.49,1.00,0.00
2004-01-06 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.58,1.78,1.00,0.00
2004-01-06 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.96,2.00,1.00,0.00
2004-01-06 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,2.05,1.00,0.00
2004-01-06 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.02,2.11,1.00,0.00
2004-01-06 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,2.02,1.00,0.00
2004-01-06 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.59,1.78,1.00,0.00
2004-01-06 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.82,1.66,1.00,0.00
2004-01-06 07:00:00,53.94,0.36,53.13,0.45,56.22,1.26,54.96,6.74,18.99,1.29,0.00,1.00
2004-01-06 08:00:00,302.56,257.01,42.31,3.24,406.06,362.30,43.76,887.27,20.19,1.75,0.00,0.00
2004-01-06 09:00:00,547.46,494.76,47.55,5.15,646.16,596.98,49.18,976.87,21.85,3.35,0.00,0.00
2004-01-06 10:00:00,762.68,705.45,50.43,6.80,852.72,800.56,52.16,1024.36,23.03,4.67,0.00,0.00
2004-01-06 11:00:00,925.90,865.81,52.05,8.03,1008.04,954.20,53.84,1050.88,22.84,5.39,0.00,0.00
2004-01-06 12:00:00,708.63,37.68,665.13,5.81,728.96,40.98,687.98,41.74,23.52,5.86,0.00,1.00
2004-01-06 13:00:00,849.87,71.11,771.79,6.98,875.42,77.12,798.30,77.28,23.16,6.14,0.00,1.00
2004-01-06 14:00:00,987.83,926.72,52.61,8.50,1066.68,1012.26,54.42,1059.48,22.42,6.41,0.00,0.00
2004-01-06 15:00:00,859.70,800.73,51.43,7.53,944.98,891.78,53.20,1040.60,21.80,6.57,0.00,0.00
2004-01-06 16:00:00,513.01,12.43,496.37,4.21,527.84,14.42,513.42,20.33,21.35,6.39,0.00,1.00
2004-01-06 17:00:00,354.45,4.29,347.25,2.91,364.62,5.44,359.18,10.41,21.08,5.89,0.00,1.00
2004-01-06 18:00:00,191.96,151.33,38.28,2.34,293.70,254.10,39.60,820.96,20.74,5.24,0.00,0.00
2004-01-06 19:00:00,19.70,0.00,19.24,0.46,57.46,37.56,19.90,444.25,20.32,3.97,0.00,0.00
2004-01-06 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.22,2.33,1.00,0.00
2004-01-06 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,1.19,1.00,0.00
2004-01-06 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.56,0.73,1.00,0.00
