DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-19.923037450456395
LONGITUD,-69.50756215819122
ALTURA,1415.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2014-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.04,2.42,1.00,0.00
2014-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.28,2.46,1.00,0.00
2014-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.82,2.68,1.00,0.00
2014-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.37,2.76,1.00,0.00
2014-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.14,2.93,1.00,0.00
2014-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.65,2.76,1.00,0.00
2014-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.34,3.04,1.00,0.00
2014-01-01 07:00:00,88.49,57.49,29.64,1.37,189.18,158.62,30.56,782.86,14.01,2.51,0.00,0.00
2014-01-01 08:00:00,339.82,298.10,38.46,3.25,449.04,409.38,39.66,966.87,17.32,0.36,0.00,0.00
2014-01-01 09:00:00,590.67,543.19,42.46,5.02,693.38,649.60,43.78,1040.32,19.40,2.93,0.00,0.00
2014-01-01 10:00:00,805.92,754.79,44.61,6.51,899.50,853.50,46.00,1077.55,20.97,4.05,0.00,0.00
2014-01-01 11:00:00,964.93,911.55,45.78,7.60,1050.64,1003.44,47.20,1096.87,23.40,4.53,0.00,0.00
2014-01-01 12:00:00,1053.94,999.37,46.36,8.21,1134.78,1086.98,47.80,1104.30,24.78,4.93,0.00,0.00
2014-01-01 13:00:00,1066.30,1011.57,46.44,8.29,1146.12,1098.24,47.88,1102.85,26.02,4.92,0.00,0.00
2014-01-01 14:00:00,1001.24,947.35,46.05,7.84,1083.94,1036.46,47.48,1092.62,27.11,5.05,0.00,0.00
2014-01-01 15:00:00,866.06,814.07,45.08,6.91,955.18,908.70,46.48,1074.46,27.68,5.35,0.00,0.00
2014-01-01 16:00:00,669.83,620.98,43.29,5.55,767.30,722.66,44.64,1040.69,26.88,5.77,0.00,0.00
2014-01-01 17:00:00,431.01,387.02,40.11,3.88,535.88,494.52,41.36,979.58,25.51,5.73,0.00,0.00
2014-01-01 18:00:00,178.39,142.48,33.87,2.05,283.02,248.10,34.92,855.91,23.87,4.83,0.00,0.00
2014-01-01 19:00:00,15.13,0.00,15.01,0.11,15.48,0.00,15.48,0.00,21.56,3.58,1.00,0.00
2014-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.32,2.05,1.00,0.00
2014-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.70,1.20,1.00,0.00
2014-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,1.69,1.00,0.00
2014-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.37,2.14,1.00,0.00
2014-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.69,2.59,1.00,0.00
2014-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.89,2.82,1.00,0.00
2014-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.44,2.95,1.00,0.00
2014-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.87,2.99,1.00,0.00
2014-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.32,3.06,1.00,0.00
2014-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.81,3.19,1.00,0.00
2014-01-02 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.37,3.35,1.00,0.00
2014-01-02 07:00:00,86.76,55.98,29.43,1.35,187.10,156.76,30.34,782.26,16.32,2.49,0.00,0.00
2014-01-02 08:00:00,339.44,297.86,38.33,3.25,448.74,409.22,39.52,970.84,18.65,0.27,0.00,0.00
2014-01-02 09:00:00,593.90,546.49,42.36,5.04,697.06,653.38,43.68,1049.12,20.48,2.39,0.00,0.00
2014-01-02 10:00:00,813.82,762.72,44.54,6.57,908.02,862.10,45.92,1090.02,22.29,3.94,0.00,0.00
2014-01-02 11:00:00,978.06,924.62,45.74,7.70,1064.48,1017.32,47.16,1112.90,24.21,5.01,0.00,0.00
2014-01-02 12:00:00,1069.38,1014.71,46.34,8.33,1150.84,1103.06,47.78,1120.91,25.52,5.32,0.00,0.00
2014-01-02 13:00:00,1083.30,1028.42,46.46,8.42,1163.76,1115.86,47.90,1120.30,26.73,5.20,0.00,0.00
2014-01-02 14:00:00,1018.36,964.32,46.07,7.97,1101.78,1054.28,47.50,1110.70,27.68,5.43,0.00,0.00
2014-01-02 15:00:00,881.15,829.04,45.08,7.03,971.06,924.58,46.48,1091.92,27.31,5.82,0.00,0.00
2014-01-02 16:00:00,682.36,633.38,43.33,5.65,780.80,736.12,44.68,1058.16,26.27,6.14,0.00,0.00
2014-01-02 17:00:00,440.08,395.99,40.13,3.95,546.18,504.80,41.38,997.27,24.80,5.59,0.00,0.00
2014-01-02 18:00:00,181.89,145.90,33.91,2.08,287.24,252.28,34.96,866.34,23.11,5.02,0.00,0.00
2014-01-02 19:00:00,15.36,0.00,15.25,0.11,15.72,0.00,15.72,0.00,20.52,3.72,1.00,0.00
2014-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.31,1.94,1.00,0.00
2014-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.52,1.38,1.00,0.00
2014-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.46,1.90,1.00,0.00
2014-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,2.41,1.00,0.00
2014-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.69,2.81,1.00,0.00
2014-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,2.91,1.00,0.00
2014-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.65,2.94,1.00,0.00
2014-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.30,3.55,1.00,0.00
2014-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.36,3.78,1.00,0.00
2014-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.90,3.49,1.00,0.00
2014-01-03 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.75,3.36,1.00,0.00
2014-01-03 07:00:00,87.12,56.30,29.44,1.38,190.32,159.96,30.36,807.18,16.21,2.70,0.00,0.00
2014-01-03 08:00:00,345.17,303.40,38.46,3.31,456.72,417.06,39.66,994.30,18.94,0.08,0.00,0.00
2014-01-03 09:00:00,602.53,554.90,42.52,5.12,707.02,663.18,43.84,1067.43,20.54,2.32,0.00,0.00
2014-01-03 10:00:00,823.57,772.25,44.67,6.65,918.48,872.42,46.06,1104.71,22.30,3.71,0.00,0.00
2014-01-03 11:00:00,987.38,933.73,45.87,7.77,1074.12,1026.82,47.30,1124.26,24.34,4.62,0.00,0.00
2014-01-03 12:00:00,1077.47,1022.62,46.46,8.39,1158.92,1111.02,47.90,1129.29,25.60,5.04,0.00,0.00
2014-01-03 13:00:00,1089.74,1034.74,46.53,8.47,1169.94,1121.96,47.98,1126.16,27.13,4.95,0.00,0.00
2014-01-03 14:00:00,1023.39,969.26,46.13,8.01,1106.44,1058.88,47.56,1114.77,28.42,5.37,0.00,0.00
2014-01-03 15:00:00,886.50,834.22,45.21,7.06,976.08,929.46,46.62,1096.48,28.94,5.78,0.00,0.00
2014-01-03 16:00:00,687.50,638.30,43.51,5.69,785.72,740.86,44.86,1063.25,28.33,6.18,0.00,0.00
2014-01-03 17:00:00,444.56,400.19,40.38,3.98,550.64,509.00,41.64,1003.18,26.61,5.60,0.00,0.00
2014-01-03 18:00:00,96.66,1.49,94.44,0.72,99.94,2.56,97.38,8.75,25.19,4.72,0.00,1.00
