DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-30.30351127593751
LONGITUD,-71.60831990548922
ALTURA,36.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2011-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.52,1.49,1.00,0.00
2011-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.23,1.38,1.00,0.00
2011-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.93,1.13,1.00,0.00
2011-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,1.40,1.00,0.00
2011-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.31,1.21,1.00,0.00
2011-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.86,0.83,1.00,0.00
2011-01-01 06:00:00,6.63,0.00,6.44,0.20,12.26,5.36,6.90,207.53,11.36,0.92,0.00,0.00
2011-01-01 07:00:00,68.99,32.86,32.69,3.43,213.50,178.46,35.04,767.81,12.07,0.87,0.00,0.00
2011-01-01 08:00:00,308.33,259.87,41.22,7.24,450.40,406.22,44.18,930.32,13.20,0.82,0.00,0.00
2011-01-01 09:00:00,556.58,500.12,45.57,10.89,677.32,628.48,48.84,1006.49,14.49,1.43,0.00,0.00
2011-01-01 10:00:00,775.92,713.84,48.05,14.03,872.62,821.12,51.50,1048.34,15.86,2.13,0.00,0.00
2011-01-01 11:00:00,943.53,877.65,49.49,16.40,1020.24,967.20,53.04,1072.04,17.40,0.85,0.00,0.00
2011-01-01 12:00:00,1043.70,975.68,50.21,17.81,1107.76,1053.94,53.82,1083.12,18.63,1.36,0.00,0.00
