,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,14.04,0.0,0.0,0.0,2.42
2021-01-01 01:00:00,13.28,0.0,0.0,0.0,2.46
2021-01-01 02:00:00,12.82,0.0,0.0,0.0,2.68
2021-01-01 03:00:00,12.37,0.0,0.0,0.0,2.76
2021-01-01 04:00:00,12.14,0.0,0.0,0.0,2.93
2021-01-01 05:00:00,11.65,0.0,0.0,0.0,2.76
2021-01-01 06:00:00,12.34,0.0,0.0,0.0,3.04
2021-01-01 07:00:00,14.01,189.18,782.86,30.56,2.51
2021-01-01 08:00:00,17.32,449.04,966.87,39.66,0.36
2021-01-01 09:00:00,19.4,693.38,1040.32,43.78,2.93
2021-01-01 10:00:00,20.97,899.5,1077.55,46.0,4.05
2021-01-01 11:00:00,23.4,1050.64,1096.87,47.2,4.53
2021-01-01 12:00:00,24.78,1134.78,1104.3,47.8,4.93
2021-01-01 13:00:00,26.02,1146.12,1102.85,47.88,4.92
2021-01-01 14:00:00,27.11,1083.94,1092.62,47.48,5.05
2021-01-01 15:00:00,27.68,955.18,1074.46,46.48,5.35
2021-01-01 16:00:00,26.88,767.3,1040.69,44.64,5.77
2021-01-01 17:00:00,25.51,535.88,979.58,41.36,5.73
2021-01-01 18:00:00,23.87,283.02,855.91,34.92,4.83
2021-01-01 19:00:00,21.56,15.48,0.0,15.48,3.58
2021-01-01 20:00:00,19.32,0.0,0.0,0.0,2.05
2021-01-01 21:00:00,17.7,0.0,0.0,0.0,1.2
2021-01-01 22:00:00,16.6,0.0,0.0,0.0,1.69
2021-01-01 23:00:00,15.37,0.0,0.0,0.0,2.14
2021-01-02 00:00:00,14.69,0.0,0.0,0.0,2.59
2021-01-02 01:00:00,13.89,0.0,0.0,0.0,2.82
2021-01-02 02:00:00,13.44,0.0,0.0,0.0,2.95
2021-01-02 03:00:00,12.87,0.0,0.0,0.0,2.99
2021-01-02 04:00:00,13.32,0.0,0.0,0.0,3.06
2021-01-02 05:00:00,13.81,0.0,0.0,0.0,3.19
2021-01-02 06:00:00,14.37,0.0,0.0,0.0,3.35
2021-01-02 07:00:00,16.32,187.1,782.26,30.34,2.49
2021-01-02 08:00:00,18.65,448.74,970.84,39.52,0.27
2021-01-02 09:00:00,20.48,697.06,1049.12,43.68,2.39
2021-01-02 10:00:00,22.29,908.02,1090.02,45.92,3.94
2021-01-02 11:00:00,24.21,1064.48,1112.9,47.16,5.01
2021-01-02 12:00:00,25.52,1150.84,1120.91,47.78,5.32
2021-01-02 13:00:00,26.73,1163.76,1120.3,47.9,5.2
2021-01-02 14:00:00,27.68,1101.78,1110.7,47.5,5.43
2021-01-02 15:00:00,27.31,971.06,1091.92,46.48,5.82
2021-01-02 16:00:00,26.27,780.8,1058.16,44.68,6.14
2021-01-02 17:00:00,24.8,546.18,997.27,41.38,5.59
2021-01-02 18:00:00,23.11,287.24,866.34,34.96,5.02
2021-01-02 19:00:00,20.52,15.72,0.0,15.72,3.72
2021-01-02 20:00:00,18.31,0.0,0.0,0.0,1.94
2021-01-02 21:00:00,16.52,0.0,0.0,0.0,1.38
2021-01-02 22:00:00,15.46,0.0,0.0,0.0,1.9
2021-01-02 23:00:00,14.29,0.0,0.0,0.0,2.41
2021-01-03 00:00:00,13.69,0.0,0.0,0.0,2.81
2021-01-03 01:00:00,13.23,0.0,0.0,0.0,2.91
2021-01-03 02:00:00,12.65,0.0,0.0,0.0,2.94
2021-01-03 03:00:00,12.3,0.0,0.0,0.0,3.55
2021-01-03 04:00:00,13.36,0.0,0.0,0.0,3.78
2021-01-03 05:00:00,13.9,0.0,0.0,0.0,3.49
2021-01-03 06:00:00,14.75,0.0,0.0,0.0,3.36
2021-01-03 07:00:00,16.21,190.32,807.18,30.36,2.7
2021-01-03 08:00:00,18.94,456.72,994.3,39.66,0.08
2021-01-03 09:00:00,20.54,707.02,1067.43,43.84,2.32
2021-01-03 10:00:00,22.3,918.48,1104.71,46.06,3.71
