,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,12.52,0.0,0.0,0.0,1.49
2021-01-01 01:00:00,12.23,0.0,0.0,0.0,1.38
2021-01-01 02:00:00,11.93,0.0,0.0,0.0,1.13
2021-01-01 03:00:00,11.5,0.0,0.0,0.0,1.4
2021-01-01 04:00:00,11.31,0.0,0.0,0.0,1.21
2021-01-01 05:00:00,10.86,0.0,0.0,0.0,0.83
2021-01-01 06:00:00,11.36,12.26,207.53,6.9,0.92
2021-01-01 07:00:00,12.07,213.5,767.81,35.04,0.87
2021-01-01 08:00:00,13.2,450.4,930.32,44.18,0.82
2021-01-01 09:00:00,14.49,677.32,1006.49,48.84,1.43
2021-01-01 10:00:00,15.86,872.62,1048.34,51.5,2.13
2021-01-01 11:00:00,17.4,1020.24,1072.04,53.04,0.85
2021-01-01 12:00:00,18.63,1107.76,1083.12,53.82,1.36
2021-01-01 13:00:00,19.75,1129.4,1085.03,54.0,3.64
2021-01-01 14:00:00,20.06,1083.32,1078.16,53.6,5.4
2021-01-01 15:00:00,19.77,973.06,1061.2,52.56,5.99
2021-01-01 16:00:00,19.27,807.28,1030.67,50.68,5.85
2021-01-01 17:00:00,18.55,599.32,978.3,47.46,5.65
2021-01-01 18:00:00,17.79,368.16,883.98,41.74,4.55
2021-01-01 19:00:00,16.32,136.48,658.36,29.52,3.85
2021-01-01 20:00:00,15.43,0.0,0.0,0.0,2.66
2021-01-01 21:00:00,14.54,0.0,0.0,0.0,2.05
2021-01-01 22:00:00,14.22,0.0,0.0,0.0,1.89
2021-01-01 23:00:00,13.84,0.0,0.0,0.0,2.02
2021-01-02 00:00:00,13.56,0.0,0.0,0.0,1.89
2021-01-02 01:00:00,13.41,0.0,0.0,0.0,1.77
2021-01-02 02:00:00,13.27,0.0,0.0,0.0,1.43
2021-01-02 03:00:00,12.89,0.0,0.0,0.0,1.16
2021-01-02 04:00:00,12.71,0.0,0.0,0.0,1.29
2021-01-02 05:00:00,12.33,0.0,0.0,0.0,0.8
2021-01-02 06:00:00,12.64,2.54,9.41,2.32,0.81
2021-01-02 07:00:00,13.18,62.18,7.56,60.44,0.85
2021-01-02 08:00:00,14.25,184.44,9.16,180.46,1.42
2021-01-02 09:00:00,15.3,445.04,14.58,435.96,2.37
2021-01-02 10:00:00,16.58,413.58,10.36,405.48,2.78
2021-01-02 11:00:00,17.87,402.32,10.61,392.76,1.62
2021-01-02 12:00:00,18.83,498.28,13.76,484.9,1.38
2021-01-02 13:00:00,19.86,878.1,79.19,799.62,2.76
2021-01-02 14:00:00,20.21,840.02,69.44,773.68,4.26
2021-01-02 15:00:00,19.9,969.08,1055.98,52.46,5.05
2021-01-02 16:00:00,19.56,805.4,1027.09,50.58,5.44
2021-01-02 17:00:00,18.98,599.06,976.23,47.38,6.31
2021-01-02 18:00:00,18.45,367.6,880.31,41.68,6.11
2021-01-02 19:00:00,17.14,136.18,653.05,29.52,5.55
2021-01-02 20:00:00,16.31,0.0,0.0,0.0,5.07
2021-01-02 21:00:00,15.53,0.0,0.0,0.0,3.44
2021-01-02 22:00:00,14.93,0.0,0.0,0.0,2.69
2021-01-02 23:00:00,14.38,0.0,0.0,0.0,2.43
2021-01-03 00:00:00,13.91,0.0,0.0,0.0,2.64
2021-01-03 01:00:00,13.46,0.0,0.0,0.0,2.64
2021-01-03 02:00:00,13.04,0.0,0.0,0.0,2.38
2021-01-03 03:00:00,12.55,0.0,0.0,0.0,2.71
2021-01-03 04:00:00,12.46,0.0,0.0,0.0,2.46
