,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,13.4,0.0,0.0,0.0,1.42
2021-01-01 01:00:00,13.41,0.0,0.0,0.0,1.49
2021-01-01 02:00:00,13.17,0.0,0.0,0.0,1.73
2021-01-01 03:00:00,13.31,0.0,0.0,0.0,2.15
2021-01-01 04:00:00,13.11,0.0,0.0,0.0,2.33
2021-01-01 05:00:00,13.26,0.0,0.0,0.0,2.19
2021-01-01 06:00:00,13.32,8.46,0.0,8.46,1.99
2021-01-01 07:00:00,13.59,213.32,746.51,35.38,1.95
2021-01-01 08:00:00,14.58,445.16,907.3,44.44,2.06
2021-01-01 09:00:00,16.58,667.56,984.05,49.08,2.35
2021-01-01 10:00:00,19.02,859.24,1027.23,51.76,2.61
2021-01-01 11:00:00,21.07,1004.36,1052.46,53.32,3.38
2021-01-01 12:00:00,22.88,1088.98,1063.33,54.08,4.08
2021-01-01 13:00:00,24.36,1108.78,1065.02,54.2,4.84
2021-01-01 14:00:00,25.01,1062.14,1057.84,53.76,5.18
2021-01-01 15:00:00,25.13,952.26,1039.96,52.72,5.56
2021-01-01 16:00:00,24.17,788.34,1008.49,50.78,5.44
2021-01-01 17:00:00,22.87,277.96,9.55,272.6,5.58
2021-01-01 18:00:00,21.57,357.56,860.95,41.74,5.08
2021-01-01 19:00:00,19.19,29.34,0.0,29.34,4.41
2021-01-01 20:00:00,17.84,0.0,0.0,0.0,2.95
2021-01-01 21:00:00,16.92,0.0,0.0,0.0,1.32
2021-01-01 22:00:00,15.79,0.0,0.0,0.0,1.52
2021-01-01 23:00:00,15.04,0.0,0.0,0.0,1.06
2021-01-02 00:00:00,14.37,0.0,0.0,0.0,1.19
2021-01-02 01:00:00,14.12,0.0,0.0,0.0,0.94
2021-01-02 02:00:00,13.7,0.0,0.0,0.0,1.04
2021-01-02 03:00:00,13.56,0.0,0.0,0.0,1.47
2021-01-02 04:00:00,14.21,0.0,0.0,0.0,1.48
2021-01-02 05:00:00,14.43,0.0,0.0,0.0,1.19
2021-01-02 06:00:00,14.66,7.78,0.0,7.78,0.94
2021-01-02 07:00:00,15.58,210.04,740.6,35.14,1.01
2021-01-02 08:00:00,16.22,441.38,903.31,44.26,1.36
2021-01-02 09:00:00,18.44,663.82,981.26,48.96,1.55
2021-01-02 10:00:00,21.48,855.86,1024.98,51.7,2.34
2021-01-02 11:00:00,23.95,1001.5,1050.47,53.28,2.95
2021-01-02 12:00:00,26.29,1089.36,1064.26,54.12,3.52
2021-01-02 13:00:00,27.68,1112.54,1068.83,54.32,4.01
2021-01-02 14:00:00,27.46,1068.9,1064.39,53.94,5.0
2021-01-02 15:00:00,27.41,961.76,1050.01,52.88,5.26
2021-01-02 16:00:00,27.14,799.38,1022.17,50.96,4.79
2021-01-02 17:00:00,26.4,594.72,972.74,47.68,4.79
2021-01-02 18:00:00,24.79,361.26,868.52,41.82,4.63
2021-01-02 19:00:00,22.25,29.38,0.0,29.38,3.76
2021-01-02 20:00:00,20.16,0.0,0.0,0.0,2.81
2021-01-02 21:00:00,18.76,0.0,0.0,0.0,1.85
2021-01-02 22:00:00,17.65,0.0,0.0,0.0,1.7
2021-01-02 23:00:00,16.66,0.0,0.0,0.0,1.05
2021-01-03 00:00:00,15.87,0.0,0.0,0.0,1.16
2021-01-03 01:00:00,15.34,0.0,0.0,0.0,1.27
2021-01-03 02:00:00,14.59,0.0,0.0,0.0,1.21
2021-01-03 03:00:00,14.01,0.0,0.0,0.0,1.23
2021-01-03 04:00:00,14.11,0.0,0.0,0.0,1.47
2021-01-03 05:00:00,14.21,0.0,0.0,0.0,1.71
2021-01-03 06:00:00,14.62,7.18,0.0,7.18,1.68
2021-01-03 07:00:00,14.78,208.8,742.99,35.1,1.75
2021-01-03 08:00:00,16.29,440.84,906.48,44.32,2.15
2021-01-03 09:00:00,18.81,663.18,982.92,49.02,2.19
2021-01-03 10:00:00,21.82,854.64,1025.24,51.72,2.66
2021-01-03 11:00:00,24.11,999.44,1049.42,53.28,3.25
2021-01-03 12:00:00,26.66,1086.54,1062.04,54.1,3.63
2021-01-03 13:00:00,28.33,1109.0,1065.45,54.28,4.58
2021-01-03 14:00:00,28.64,1064.68,1059.77,53.9,4.98
2021-01-03 15:00:00,28.13,682.1,37.18,649.9,5.05
2021-01-03 16:00:00,26.67,367.54,10.18,360.08,5.1
2021-01-03 17:00:00,25.33,202.14,9.69,196.68,5.06
2021-01-03 18:00:00,23.64,115.24,8.73,112.02,4.62
2021-01-03 19:00:00,21.46,29.56,0.0,29.56,3.91
2021-01-03 20:00:00,19.37,0.0,0.0,0.0,3.27
2021-01-03 21:00:00,17.75,0.0,0.0,0.0,2.59
2021-01-03 22:00:00,16.4,0.0,0.0,0.0,2.3
2021-01-03 23:00:00,15.4,0.0,0.0,0.0,1.63
2021-01-04 00:00:00,14.86,0.0,0.0,0.0,1.6
2021-01-04 01:00:00,14.82,0.0,0.0,0.0,1.58
2021-01-04 02:00:00,14.24,0.0,0.0,0.0,1.72
2021-01-04 03:00:00,14.53,0.0,0.0,0.0,1.83
2021-01-04 04:00:00,14.95,0.0,0.0,0.0,1.91
2021-01-04 05:00:00,15.16,0.0,0.0,0.0,1.81
2021-01-04 06:00:00,15.27,6.56,0.0,6.56,1.66
2021-01-04 07:00:00,15.54,75.74,7.35,74.04,1.67
2021-01-04 08:00:00,16.16,436.26,900.35,44.26,1.88
2021-01-04 09:00:00,17.94,658.42,978.2,48.94,2.14
2021-01-04 10:00:00,20.21,850.16,1021.47,51.64,2.63
2021-01-04 11:00:00,22.54,995.48,1046.36,53.18,3.21
2021-01-04 12:00:00,24.55,1084.22,1060.31,54.08,3.77
2021-01-04 13:00:00,25.89,1108.4,1064.97,54.32,4.43
2021-01-04 14:00:00,26.53,1065.72,1060.55,53.98,4.83
2021-01-04 15:00:00,26.9,959.5,1046.07,52.94,4.71
2021-01-04 16:00:00,26.42,798.14,1018.19,51.06,4.79
2021-01-04 17:00:00,25.73,594.32,968.8,47.82,4.75
2021-01-04 18:00:00,24.66,364.28,872.01,42.0,4.51
2021-01-04 19:00:00,22.77,29.7,0.0,29.7,3.94
2021-01-04 20:00:00,20.56,0.0,0.0,0.0,3.1
2021-01-04 21:00:00,18.81,0.0,0.0,0.0,2.62
2021-01-04 22:00:00,18.07,0.0,0.0,0.0,2.13
2021-01-04 23:00:00,17.39,0.0,0.0,0.0,1.73
2021-01-05 00:00:00,17.03,0.0,0.0,0.0,1.63
2021-01-05 01:00:00,16.7,0.0,0.0,0.0,1.57
2021-01-05 02:00:00,16.18,0.0,0.0,0.0,1.72
2021-01-05 03:00:00,15.93,0.0,0.0,0.0,1.96
2021-01-05 04:00:00,15.51,0.0,0.0,0.0,1.88
2021-01-05 05:00:00,15.39,0.0,0.0,0.0,1.68
2021-01-05 06:00:00,15.05,1.86,0.0,1.86,1.65
2021-01-05 07:00:00,15.11,52.84,7.42,51.14,1.71
2021-01-05 08:00:00,15.83,139.66,9.05,135.74,1.98
2021-01-05 09:00:00,17.6,284.76,9.82,278.66,2.26
2021-01-05 10:00:00,19.59,852.3,1026.05,51.76,2.63
2021-01-05 11:00:00,21.76,998.8,1051.03,53.34,3.2
2021-01-05 12:00:00,23.17,1087.5,1064.26,54.18,3.79
2021-01-05 13:00:00,24.38,1111.34,1068.05,54.42,4.79
2021-01-05 14:00:00,25.11,1068.32,1062.99,54.08,5.17
2021-01-05 15:00:00,25.48,961.46,1047.71,53.02,5.15
2021-01-05 16:00:00,25.38,799.3,1018.84,51.14,4.74
2021-01-05 17:00:00,24.74,594.88,968.13,47.92,4.39
2021-01-05 18:00:00,23.43,365.26,872.47,42.1,4.27
2021-01-05 19:00:00,21.6,29.82,0.0,29.82,3.75
2021-01-05 20:00:00,19.51,0.0,0.0,0.0,3.28
2021-01-05 21:00:00,17.81,0.0,0.0,0.0,2.85
2021-01-05 22:00:00,17.15,0.0,0.0,0.0,2.74
2021-01-05 23:00:00,16.68,0.0,0.0,0.0,2.64
2021-01-06 00:00:00,16.41,0.0,0.0,0.0,2.59
2021-01-06 01:00:00,16.4,0.0,0.0,0.0,2.37
2021-01-06 02:00:00,16.14,0.0,0.0,0.0,2.4
2021-01-06 03:00:00,15.89,0.0,0.0,0.0,2.56
2021-01-06 04:00:00,15.54,0.0,0.0,0.0,2.53
2021-01-06 05:00:00,15.39,0.0,0.0,0.0,1.98
2021-01-06 06:00:00,14.91,1.62,0.0,1.62,1.72
2021-01-06 07:00:00,14.43,48.28,7.42,46.6,1.66
2021-01-06 08:00:00,14.91,111.92,9.1,108.0,1.83
2021-01-06 09:00:00,16.0,194.84,9.88,188.72,2.21
2021-01-06 10:00:00,17.77,239.46,10.33,231.42,2.6
2021-01-06 11:00:00,20.07,644.98,30.48,617.6,3.12
2021-01-06 12:00:00,21.55,841.6,68.87,774.78,3.64
2021-01-06 13:00:00,23.03,1116.34,1073.43,54.34,4.58
2021-01-06 14:00:00,23.97,1072.7,1067.51,53.98,4.86
2021-01-06 15:00:00,24.43,966.76,1053.34,52.98,4.88
2021-01-06 16:00:00,24.35,804.98,1025.64,51.1,4.71
2021-01-06 17:00:00,23.78,600.16,976.26,47.9,4.54
2021-01-06 18:00:00,22.94,368.26,878.87,42.16,4.3
2021-01-06 19:00:00,20.84,29.92,0.0,29.92,3.74
2021-01-06 20:00:00,18.63,0.0,0.0,0.0,3.18
2021-01-06 21:00:00,17.26,0.0,0.0,0.0,2.82
2021-01-06 22:00:00,16.45,0.0,0.0,0.0,2.35
2021-01-06 23:00:00,16.22,0.0,0.0,0.0,1.99
2021-01-07 00:00:00,15.89,0.0,0.0,0.0,1.96
2021-01-07 01:00:00,15.56,0.0,0.0,0.0,1.96
2021-01-07 02:00:00,15.34,0.0,0.0,0.0,2.08
2021-01-07 03:00:00,15.24,0.0,0.0,0.0,2.09
2021-01-07 04:00:00,14.99,0.0,0.0,0.0,1.83
2021-01-07 05:00:00,14.92,0.0,0.0,0.0,1.51
2021-01-07 06:00:00,14.5,4.6,0.0,4.6,1.26
2021-01-07 07:00:00,14.26,202.08,746.99,34.68,1.16
2021-01-07 08:00:00,15.52,437.66,917.92,44.22,1.48
2021-01-07 09:00:00,17.35,664.16,996.55,48.98,1.93
2021-01-07 10:00:00,19.56,860.1,1040.22,51.7,2.43
2021-01-07 11:00:00,21.78,1009.1,1065.15,53.3,3.04
2021-01-07 12:00:00,24.41,1099.7,1078.32,54.14,3.72
2021-01-07 13:00:00,25.9,1124.8,1082.26,54.34,4.49
2021-01-07 14:00:00,26.84,1082.12,1077.29,53.96,4.97
