,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,13.49,0.0,0.0,0.0,0.99
2021-01-01 01:00:00,13.17,0.0,0.0,0.0,1.12
2021-01-01 02:00:00,12.87,0.0,0.0,0.0,1.84
2021-01-01 03:00:00,12.9,0.0,0.0,0.0,2.15
2021-01-01 04:00:00,12.74,0.0,0.0,0.0,2.49
2021-01-01 05:00:00,12.69,0.0,0.0,0.0,2.4
2021-01-01 06:00:00,12.35,8.1,0.0,8.1,2.14
2021-01-01 07:00:00,12.74,213.24,753.08,34.5,1.73
2021-01-01 08:00:00,13.74,445.92,913.36,43.24,1.44
2021-01-01 09:00:00,15.88,669.16,989.86,47.7,1.84
2021-01-01 10:00:00,17.87,861.6,1032.85,50.26,2.42
2021-01-01 11:00:00,19.75,1007.34,1057.75,51.76,3.31
2021-01-01 12:00:00,21.69,1092.4,1068.51,52.46,4.48
2021-01-01 13:00:00,22.67,1112.46,1070.15,52.62,4.8
2021-01-01 14:00:00,23.24,1065.86,1062.97,52.2,5.11
2021-01-01 15:00:00,23.05,955.76,1045.26,51.18,4.54
2021-01-01 16:00:00,22.24,791.44,1014.03,49.34,4.61
2021-01-01 17:00:00,20.99,586.1,960.78,46.2,4.28
2021-01-01 18:00:00,19.54,359.64,868.41,40.66,3.79
2021-01-01 19:00:00,17.68,132.56,644.25,28.78,2.84
2021-01-01 20:00:00,16.65,0.0,0.0,0.0,1.3
2021-01-01 21:00:00,16.03,0.0,0.0,0.0,0.15
2021-01-01 22:00:00,14.84,0.0,0.0,0.0,0.16
2021-01-01 23:00:00,14.09,0.0,0.0,0.0,0.47
2021-01-02 00:00:00,13.88,0.0,0.0,0.0,0.3
2021-01-02 01:00:00,12.95,0.0,0.0,0.0,0.4
2021-01-02 02:00:00,12.65,0.0,0.0,0.0,0.76
2021-01-02 03:00:00,12.89,0.0,0.0,0.0,0.89
2021-01-02 04:00:00,13.3,0.0,0.0,0.0,0.97
2021-01-02 05:00:00,13.47,0.0,0.0,0.0,0.8
2021-01-02 06:00:00,13.64,7.44,0.0,7.44,0.65
2021-01-02 07:00:00,14.61,209.88,746.87,34.26,0.64
2021-01-02 08:00:00,15.32,442.18,909.86,43.04,0.95
2021-01-02 09:00:00,17.61,665.6,987.16,47.58,1.57
2021-01-02 10:00:00,19.95,858.6,1030.93,50.22,2.25
2021-01-02 11:00:00,22.87,1005.1,1056.43,51.74,3.07
2021-01-02 12:00:00,23.94,1093.56,1070.26,52.52,3.9
2021-01-02 13:00:00,25.47,1117.1,1074.87,52.72,4.13
2021-01-02 14:00:00,25.94,1073.62,1070.64,52.36,4.98
2021-01-02 15:00:00,25.57,966.26,1056.44,51.36,4.35
2021-01-02 16:00:00,25.73,803.4,1028.96,49.52,3.97
2021-01-02 17:00:00,24.76,598.0,979.84,46.4,3.69
2021-01-02 18:00:00,23.07,363.34,875.89,40.76,3.23
2021-01-02 19:00:00,20.91,132.5,640.33,28.8,2.22
2021-01-02 20:00:00,19.3,0.0,0.0,0.0,1.31
2021-01-02 21:00:00,18.23,0.0,0.0,0.0,1.07
2021-01-02 22:00:00,17.27,0.0,0.0,0.0,0.7
2021-01-02 23:00:00,16.3,0.0,0.0,0.0,0.43
2021-01-03 00:00:00,15.49,0.0,0.0,0.0,0.67
2021-01-03 01:00:00,14.82,0.0,0.0,0.0,0.91
2021-01-03 02:00:00,14.04,0.0,0.0,0.0,1.16
2021-01-03 03:00:00,13.52,0.0,0.0,0.0,1.06
2021-01-03 04:00:00,13.24,0.0,0.0,0.0,1.33
2021-01-03 05:00:00,13.13,0.0,0.0,0.0,1.45
2021-01-03 06:00:00,13.28,6.84,0.0,6.84,1.46
2021-01-03 07:00:00,13.58,208.52,748.91,34.2,0.97
2021-01-03 08:00:00,15.05,441.32,912.0,43.1,0.95
2021-01-03 09:00:00,17.79,664.4,988.22,47.6,1.31
2021-01-03 10:00:00,20.5,856.58,1030.21,50.22,2.42
2021-01-03 11:00:00,22.69,1001.94,1054.18,51.72,2.68
2021-01-03 12:00:00,24.8,1089.66,1066.9,52.5,4.13
2021-01-03 13:00:00,26.53,1112.54,1070.46,52.68,4.45
2021-01-03 14:00:00,26.98,1068.48,1065.06,52.32,4.56
2021-01-03 15:00:00,26.42,759.22,53.01,713.28,4.25
2021-01-03 16:00:00,25.39,379.08,10.25,371.56,4.19
2021-01-03 17:00:00,23.95,178.6,9.75,173.1,4.27
2021-01-03 18:00:00,22.32,80.12,8.83,76.86,3.49
2021-01-03 19:00:00,20.38,135.68,655.24,29.0,2.59
2021-01-03 20:00:00,18.84,0.0,0.0,0.0,1.63
2021-01-03 21:00:00,17.69,0.0,0.0,0.0,1.14
2021-01-03 22:00:00,16.56,0.0,0.0,0.0,1.03
2021-01-03 23:00:00,15.7,0.0,0.0,0.0,0.88
2021-01-04 00:00:00,15.27,0.0,0.0,0.0,1.24
2021-01-04 01:00:00,14.84,0.0,0.0,0.0,1.64
2021-01-04 02:00:00,14.29,0.0,0.0,0.0,1.62
2021-01-04 03:00:00,14.04,0.0,0.0,0.0,1.62
2021-01-04 04:00:00,14.02,0.0,0.0,0.0,1.7
2021-01-04 05:00:00,13.74,0.0,0.0,0.0,1.86
2021-01-04 06:00:00,13.47,6.22,0.0,6.22,1.75
2021-01-04 07:00:00,13.91,74.52,7.47,72.8,1.78
2021-01-04 08:00:00,14.67,437.3,907.5,43.04,2.04
2021-01-04 09:00:00,16.56,660.46,984.77,47.56,2.69
2021-01-04 10:00:00,18.67,853.08,1027.84,50.14,3.14
2021-01-04 11:00:00,21.18,999.14,1052.41,51.64,4.3
2021-01-04 12:00:00,23.09,1088.46,1066.36,52.48,5.4
2021-01-04 13:00:00,24.39,1112.98,1071.03,52.74,5.71
